codice;prezzo_eur_iva_esclusa;stato;origine;categoria;prodotto;variante;note
AN07-005-7;0,27;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-005-7 - 7 mm  8 mm CODICE · CODE  CODICE · CODE  BINARI, PRESE D’ARIA, SUPPORTI TELONI RAILS, VENT;
AN07-005-8;0,31;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-005-8 - 8 mm CODICE · CODE  CODICE · CODE  BINARI, PRESE D’ARIA, SUPPORTI TELONI RAILS, VENTS AND;
AN07-006;5,49;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-006 - 7,8 mm CODICE · CODE CM  75/120  90/160 CODICE · CODE Ø  7 mm  8 mm CODICE · CODE  CODICE;
AN07-007;60,82;prezzo_definitivo;NETTUNO Price List 2025.pdf p.33;tappezzeria;Binari, prese aria e supporti teloni;AN07-007 - BINARI, PRESE D’ARIA, SUPPORTI TELONI RAILS, VENTS AND COVERS SUPPORTS;
AN08-001;2,62;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-001 - 6 mm CODICE · CODE  WIRE ROPES AND TERMINALS CAVI E TERMINALI;
AN08-002;1,31;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-002 - 3 mm CODICE · CODE Ø  3 mm CODICE · CODE Ø  4 mm CODICE · CODE MT  6  8  10  12  15;
AN08-003-A;108,03;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-003-A - 6  8  10  12  15 CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  3 mm  4 mm CODI;
AN08-003-B;115,08;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-003-B - 8  10  12  15 CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø A;
AN08-003-C;122,21;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-003-C - 10  12  15 CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  6 mm;
AN08-003-D;129,26;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-003-D - 12  15 CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  6 mm CODIC;
AN08-003-E;136,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-003-E - 15 CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  6 mm CODICE ·;
AN08-004;10,08;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-004 - WIRE ROPES AND TERMINALS CAVI E TERMINALI;
AN08-005;0,12;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-005 - 3 mm  4 mm CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  6 mm CODICE · CODE  WIRE ROPES AND;
AN08-006;0,16;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-006 - 4 mm CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø  6 mm CODICE · CODE  WIRE ROPES AND TERMI;
AN08-007;45,41;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-007 - 4 mm CODICE · CODE MT  6  8  10  12  15 CODICE · CODE Ø  3 mm  4 mm CODICE · CODE Ø;
AN08-008;0,12;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-008 - 3 mm  4 mm CODICE · CODE Ø  6 mm CODICE · CODE  WIRE ROPES AND TERMINALS CAVI E TERMINALI;
AN08-009;0,16;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-009 - 4 mm CODICE · CODE Ø  6 mm CODICE · CODE  WIRE ROPES AND TERMINALS CAVI E TERMINALI;
AN08-010;2,62;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Cavi e terminali;AN08-010 - 3 mm CODICE · CODE Ø  4 mm CODICE · CODE MT  6  8  10  12  15 CODICE · CODE Ø  3 mm;
AN09-001-12/ARG;;rimandato;;tappezzeria;Scorritenda e accessori;AN09-001-12/ARG - CODICE · CODE   SCORRITENDA E ACCESSORI RAILS FOR BLINDS AND ACCESSORIES;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN09-001-12/BIA;;rimandato;;tappezzeria;Scorritenda e accessori;AN09-001-12/BIA - CODICE · CODE   SCORRITENDA E ACCESSORI RAILS FOR BLINDS AND ACCESSORIES;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN09-002-25/BIA;;rimandato;;tappezzeria;Scorritenda e accessori;AN09-002-25/BIA - 25  40  65 CODICE · CODE   CODICE · CODE   SCORRITENDA E ACCESSORI RAILS;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN09-002-40/BIA;;rimandato;;tappezzeria;Scorritenda e accessori;AN09-002-40/BIA - 40  65 CODICE · CODE   CODICE · CODE   SCORRITENDA E ACCESSORI RAILS FOR BLINDS AND ACCE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN09-002-65/BIA;;rimandato;;tappezzeria;Scorritenda e accessori;AN09-002-65/BIA - 65 CODICE · CODE   CODICE · CODE   SCORRITENDA E ACCESSORI RAILS FOR BLINDS AND ACCESSORIE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN09-003;2,71;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Scorritenda e accessori;AN09-003 - NASTRO ARRICCIATENDE BIANCO WHITE CURTAIN RIBBON CONFEZIONE 20 SCORREVOLI BIANCHI PER BINA;
AN09-004;5,57;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Scorritenda e accessori;AN09-004 - SCORRITENDA E ACCESSORI RAILS FOR BLINDS AND ACCESSORIES;
AN09-005;5,57;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Scorritenda e accessori;AN09-005 - SCORRITENDA E ACCESSORI RAILS FOR BLINDS AND ACCESSORIES;
AN09-006;4,18;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Scorritenda e accessori;AN09-006 - CODICE · CODE  CODICE · CODE  NASTRO ARRICCIATENDE BIANCO WHITE CURTAIN RIBBON CONFEZIONE;
AN09-007;6,97;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Scorritenda e accessori;AN09-007 - CODICE · CODE  CODICE · CODE  CODICE · CODE  NASTRO ARRICCIATENDE BIANCO WHITE CURTAIN RIB;
AN09-008;6,39;prezzo_definitivo;NETTUNO Price List 2025.pdf p.34;tappezzeria;Scorritenda e accessori;AN09-008 - CODICE · CODE  NASTRO ARRICCIATENDE BIANCO WHITE CURTAIN RIBBON CONFEZIONE 20 SCORREVOLI B;
AR01-002;20,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.21;accessori-rollbar-ttop;Contropiastra inferiore per Roll Bar;Acciaio inox;
AR02-001;151,56;prezzo_definitivo;NETTUNO Price List 2025.pdf p.21;accessori-rollbar-ttop;Fanale di fonda 360 gradi inox;Acciaio inox;
AR02-002;74,92;prezzo_definitivo;NETTUNO Price List 2025.pdf p.21;accessori-rollbar-ttop;Fanale di fonda 360 gradi plastica;Plastica bianca;
AR02-003;82,71;prezzo_definitivo;NETTUNO Price List 2025.pdf p.21;accessori-rollbar-ttop;Plafoniera compatta;Plafoniera compatta;
AR02-008;113,93;prezzo_definitivo;NETTUNO Price List 2025.pdf p.21;accessori-rollbar-ttop;Luci di via Nemo;Sinistra e destra;
AT01-001;0,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;20 mm - Sport Plus 4/3 archi;
AT01-002;0,87;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;22 mm - Royal 3 archi, Look Up 3 archi;
AT01-003;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;25 mm - Royal/Royal XL 4 archi, Look Up 4 archi, Prestige 3 archi;
AT01-004;135,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;30 mm - Exclusive;
AT01-005;0,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;20 mm - Sport 4/3 archi;
AT01-006;0,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;20 mm - Elegance 3/2 archi;
AT01-007;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;25 mm - Chic 4/3 archi;
AT01-008;0,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;22 mm - Elegance Plus 4/3 archi;
AT01-009;1,57;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Puntoni;40 mm - Majestic;
AT02-001;24,43;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-tendalino;Tenditori a nastro;AT02-001 - Acrilico resinato Resin-coated acrylic Gr igio · Grey BRACCIALE BAND;
AT02-002;90,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Tenditori a nastro;Beige;
AT02-003;90,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Tenditori a nastro;Bianco;
AT02-004;90,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Tenditori a nastro;Blu;
AT02-005;90,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Tenditori a nastro;Grigio;
AT02-006;90,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.17;accessori-tendalino;Tenditori a nastro;Nero;
AT03-001;140,74;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-tendalino;Cavetti tenditori;AT03-001 - Inox · Steel DESCRIZIONE | DESCRIPTION DESCRIZIONE | DESCRIPTION Coppia di tenditori a nas;
AT04-001;78,85;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Basetta in EPDM con forcella inox;Codice unico;
AT04-002;16,39;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto in EPDM;Grigio;
AT04-003;6,23;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto in EPDM;Nero;
AT05-001-22;23,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Base tonda per tubo;22 mm;
AT05-001-25;25,16;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Base tonda per tubo;25 mm;
AT05-002-20;0,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Cappuccio terminale;20 mm;
AT05-002-22;6,31;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Cappuccio terminale;22 mm;
AT05-002-25;6,89;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Cappuccio terminale;25 mm;
AT05-002-30;8,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Cappuccio terminale;30 mm;
AT05-002-40;28,03;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Cappuccio terminale;40 mm;
AT05-003-22;22,05;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Cerniera snodata;22 mm;
AT05-003-25;21,07;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Cerniera snodata;25 mm;
AT05-004-22;21,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Curva a 90 gradi microfusa;22 mm;
AT05-004-25;24,34;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Curva a 90 gradi microfusa;25 mm;
AT05-005-22;20,49;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Giunzione per tubo;22 mm;
AT05-005-25;25,08;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Giunzione per tubo;25 mm;
AT05-006-22;14,51;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella apribile con perno sfilabile;22 mm;
AT05-006-25;15,25;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella apribile con perno sfilabile;25 mm;
AT05-006-30;17,54;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella apribile con perno sfilabile;30 mm;
AT05-007-22;24,51;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella apribile con vite;22 mm;
AT05-007-25;11,97;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella apribile con vite;25 mm;
AT05-007-30;16,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella apribile con vite;30 mm;
AT05-008-20;0,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella;20 mm;
AT05-008-22;6,72;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella;22 mm;
AT05-008-25;8,12;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella;25 mm;
AT05-008-30;9,18;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella;30 mm;
AT05-008-40;32,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella;40 mm;
AT05-009;59,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Supporto ad alta stabilita per tubo;22 mm;
AT05-010;59,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Supporto ad alta stabilita per tubo;25 mm;
AT05-012-22;86,15;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Supporto con forcella snodata a 180 gradi;22 mm;
AT05-012-25;91,64;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Supporto con forcella snodata a 180 gradi;25 mm;
AT05-013-22;23,53;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;T 90 microfusa;22 mm;
AT05-013-25;24,51;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;T 90 microfusa;25 mm;
AT05-013-30;25,33;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;T 90 microfusa;30 mm;
AT05-013-40;;da_definire;;accessori-inox;T 90 microfusa;40 mm;Prezzo non trovato nei listini forniti.
AT05-014-22;7,62;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;T 90 stampata;22 mm;
AT05-014-25;8,03;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;T 90 stampata;25 mm;
AT05-015-20;0,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Tappo per tubo;20 mm;
AT05-015-22;5,66;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Tappo per tubo;22 mm;
AT05-015-25;10,33;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Tappo per tubo;25 mm;
AT05-015-30;18,36;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Tappo per tubo;30 mm;
AT05-016-22;40,74;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Tensionatore per bimini;22 mm;
AT05-016-25;41,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Tensionatore per bimini;25 mm;
AT05-016-30;41,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Tensionatore per bimini;30 mm;
AT05-017;;da_definire;;accessori-inox;Supporto con forcella a sgancio rapido;Codice unico;"Codice presente in catalogo/sito, prezzo non presente nei listini forniti; da aggiungere in seguito."
AT05-018;;da_definire;;accessori-inox;Supporto con forcella snodata a 180 gradi con perno sfilabile;Codice unico;"Codice presente in catalogo/sito, prezzo non presente nei listini forniti; da aggiungere in seguito."
AT05-019;;da_definire;;accessori-inox;Supporto con forcella snodata a 180 gradi;Codice unico;"Codice presente in catalogo/sito, prezzo non presente nei listini forniti; da aggiungere in seguito."
AT05-020;8,85;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto a forcella concavo con perno sfilabile;Da 20 a 25 mm;
AT05-021;6,89;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto a forcella concavo con vite;Da 20 a 25 mm;
AT05-022;7,71;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto a forcella piatto con perno sfilabile;Codice unico;
AT05-023;6,89;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto a forcella piatto con vite;Codice unico;
AT05-024;11,48;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto a parete;Codice unico;
AT05-025;100,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.18;accessori-inox;Snodo a forcella apribile;35 mm;
AT05-026;7,79;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Perno sfilabile in acciaio inox;6 mm;
AT05-027;29,67;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Raccordo per tubi telescopici;22-25 mm;
AT05-028;7,54;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Molla con nottolino per tubi telescopici;Alto;
AT05-029;7,54;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Molla con nottolino per tubi telescopici;Basso;
AT05-031;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Supporto a forcella concavo con vite;40 mm;
AT05-032;23,69;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Cappuccio terminale a forcella;25 mm;
AT05-033;7,54;prezzo_definitivo;NETTUNO Price List 2025.pdf p.19;accessori-inox;Molla con nottolino per tubi telescopici;Basso;
AT06-001;5,74;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Attacco per tubo;Bianco;
AT06-002;4,26;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Attacco per tubo;Nero;
AT06-003;1,64;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Boccola;Bianco;
AT06-004;1,64;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Boccola;Nero;
AT06-005;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Cappuccio terminale;20 mm - Bianco;
AT06-006;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Cappuccio terminale;20 mm - Nero;
AT06-007;1,15;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Giunto;20 mm - Bianco;
AT06-008;1,15;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Giunto;20 mm - Nero;
AT06-009;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Piedino per boccola;Bianco;
AT06-010;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Piedino per boccola;Nero;
AT06-011;3,93;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Snodo;Bianco;
AT06-012;3,93;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Snodo;Nero;
AT06-013;2,87;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Supporto a forcella piatto con vite;Bianco;
AT06-014;2,87;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Supporto a forcella piatto con vite;Nero;
AT06-015;3,03;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Supporto a parete;Bianco;
AT06-016;3,03;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Supporto a parete;Nero;
AT06-017;3,12;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Cappuccio terminale;22 mm - Bianco;
AT06-018;6,31;prezzo_definitivo;NETTUNO Price List 2025.pdf p.20;accessori-nylon;Giunto;22 mm - Bianco;
CO01-L;188,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copriconsolle;Grande - A 145 cm, B 75 cm, C 120 cm, D 70 cm, E 35 cm;
CO01-M;176,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copriconsolle;Medio - A 135 cm, B 70 cm, C 100 cm, D 65 cm, E 30 cm;
CO01-S;162,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copriconsolle;Piccolo - A 125 cm, B 65 cm, C 65 cm, D 60 cm, E 25 cm;
CO02-L;194,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprisedili;CO02-L - Grande · Large 120 cm | 47” 60 cm | 24” 140 cm | 55” 60 cm | 24” Possibilità di realizzazi;
CO02-M;174,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprisedili;CO02-M - Medio · Medium 110 cm | 43” 55 cm | 22” 130 cm | 51” 55 cm | 22”  Grande · Large 120 cm;
CO02-S;154,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprisedili;CO02-S - Piccolo · Small 100 cm | 39” 50 cm | 20” 120 cm | 47” 50 cm | 20”  Medio · Medium 110 cm;
CO03-A;112,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprimotori;2.5 / 5 HP - A 22 cm, B 42 cm, C 27 cm;
CO03-B;118,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprimotori;6 / 10 HP - A 28 cm, B 46 cm, C 32 cm;
CO03-C;124,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprimotori;15 / 30 HP - A 28 cm, B 56 cm, C 40 cm;
CO03-D;130,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprimotori;20 / 60 HP - A 37 cm, B 66 cm, C 48 cm;
CO03-E;136,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprimotori;75 / 90 HP - A 40 cm, B 68 cm, C 53 cm;
CO03-F;140,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprimotori;115 / 125 HP - A 46 cm, B 73 cm, C 60 cm;
CO03-G;146,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Coprimotori;135 / 250 HP - A 55 cm, B 90 cm, C 60 cm;
CO04-A;296,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copritimoni;CO04-A - 80 cm | 31”  90 cm | 35”  100 cm | 39”  110 cm | 43”  120 cm | 47” 1) Al momento dell’ordi;
CO04-B;322,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copritimoni;CO04-B - 90 cm | 35”  100 cm | 39”  110 cm | 43”  120 cm | 47” 1) Al momento dell’ordine comunicare;
CO04-C;348,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copritimoni;CO04-C - 100 cm | 39”  110 cm | 43”  120 cm | 47” 1) Al momento dell’ordine comunicare le misure A,;
CO04-D;374,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copritimoni;CO04-D - 110 cm | 43”  120 cm | 47” 1) Al momento dell’ordine comunicare le misure A, B e C. 2) Pos;
CO04-E;400,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.15;coperture;Copritimoni;CO04-E - 120 cm | 47” 1) Al momento dell’ordine comunicare le misure A, B e C. 2) Possibilità di re;
CO05-L;110,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Copriwinch;CO05-L - Grande · Large 17 cm | 7” 22 cm | 9”  Molto Grande · Extra Large 19,5 cm | 8” 24 cm | 9” P;
CO05-M;106,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Copriwinch;CO05-M - Medio · Medium 15,5 cm | 6” 20 cm | 8”  Grande · Large 17 cm | 7” 22 cm | 9”  Molto Grande;
CO05-S;104,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Copriwinch;CO05-S - Piccolo · Small 14 cm | 6” 17 cm | 7”  Medio · Medium 15,5 cm | 6” 20 cm | 8”  Grande · La;
CO05-X;112,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Copriwinch;CO05-X - Molto Grande · Extra Large 19,5 cm | 8” 24 cm | 9” Possibilità di realizzazioni fuori misu;
CO06;47,40;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Copri passo uomo;CO06 - CODICE · CODE  1) Prodotto su misura. 2) Al momento dell’ordine indicare misure, marca e m;
CO07;157,90;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Coprizattera;CO07 - 1) Prodotto su misura. 2) Al momento dell’ordine indicare misure, marca e modello del pass;
CO08-A;840,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;coperture;Copriranda;Boma da 0 a 3 mt;
CO08-B;1120,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;coperture;Copriranda;Boma da 3 a 4 mt;
CO08-C;1400,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;coperture;Copriranda;Boma da 4 a 5 mt;
CO08-D;1680,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;coperture;Copriranda;Boma da 5 a 6 mt;
CO08-E;1960,00;prezzo_definitivo;PREZZI AGGIORNATI 01.05.26.pdf;coperture;Copriranda;Boma da 6 a 7 mt;
CO09-A;464,10;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Lazy Bag;CO09-A - da 0 a 3 mt | from 0 to 3 mt  da 3 a 4 mt | from 3 to 4 mt  da 4 a 5 mt | from 4 to 5 mt;
CO09-B;618,90;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Lazy Bag;CO09-B - da 3 a 4 mt | from 3 to 4 mt  da 4 a 5 mt | from 4 to 5 mt  da 5 a 6 mt | from 5 to 6 mt;
CO09-C;773,60;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Lazy Bag;CO09-C - da 4 a 5 mt | from 4 to 5 mt  da 5 a 6 mt | from 5 to 6 mt  da 6 a 7 mt | from 6 to 7 mt D;
CO09-D;928,30;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Lazy Bag;CO09-D - da 5 a 6 mt | from 5 to 6 mt  da 6 a 7 mt | from 6 to 7 mt DIMENSIONI | DIMENSIONS NETTUNO;
CO09-E;1083,00;prezzo_definitivo;NETTUNO Price List 2025.pdf p.16;coperture;Lazy Bag;CO09-E - da 6 a 7 mt | from 6 to 7 mt DIMENSIONI | DIMENSIONS NETTUNO MARINE EQUIPMENT Prodotto su;
